epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,758.487,0.83752,0.53937,1.01516,0.87796,0.92846,0.91458,0.71093,0.81777,0.53324,0.97784,0.000885523,0.000885523,0.000885523
43,776.405,0.84631,0.54497,1.02206,0.88574,0.90567,0.91327,0.68667,0.84451,0.55221,1.00364,0.000880023,0.000880023,0.000880023
44,794.277,0.85672,0.53994,1.02349,0.89268,0.90551,0.92054,0.69825,0.84235,0.53631,0.99007,0.000874524,0.000874524,0.000874524
45,812.171,0.85095,0.5314,1.01736,0.89061,0.90303,0.91855,0.71034,0.81126,0.54328,0.97666,0.000869024,0.000869024,0.000869024
46,830.097,0.84612,0.52814,1.01923,0.89047,0.92083,0.91673,0.69716,0.82634,0.54783,0.97868,0.000863525,0.000863525,0.000863525
47,847.871,0.85513,0.54124,1.01443,0.89934,0.9113,0.91837,0.70397,0.8105,0.52063,0.97956,0.000858025,0.000858025,0.000858025
48,865.683,0.84125,0.52545,1.0153,0.88146,0.93592,0.91855,0.71094,0.80863,0.52219,0.97102,0.000852526,0.000852526,0.000852526
49,883.584,0.82031,0.51925,1.00427,0.88882,0.91138,0.90531,0.69865,0.82635,0.53872,0.99078,0.000847026,0.000847026,0.000847026
50,901.594,0.84418,0.52473,1.01547,0.89958,0.92091,0.91462,0.70563,0.82063,0.52481,0.97544,0.000841527,0.000841527,0.000841527
51,919.816,0.83964,0.52586,1.01581,0.88682,0.91453,0.91589,0.71353,0.81846,0.52922,0.97376,0.000836027,0.000836027,0.000836027
52,937.927,0.81981,0.50962,1.00559,0.9031,0.91007,0.91257,0.70298,0.80805,0.53117,0.98082,0.000830528,0.000830528,0.000830528
53,956.145,0.8213,0.52079,1.00701,0.88748,0.9184,0.9208,0.69982,0.85084,0.53406,0.99477,0.000825029,0.000825029,0.000825029
54,974.057,0.81927,0.51036,1.0029,0.89352,0.91222,0.91427,0.69985,0.82301,0.54033,0.98856,0.000819529,0.000819529,0.000819529
55,991.822,0.80349,0.50127,0.99817,0.89376,0.91216,0.91976,0.70997,0.81092,0.52918,0.97867,0.00081403,0.00081403,0.00081403
